español, english
los animales, animals
el gato, cat
el perro, dog
la ardilla, squirrel
el pájaro, bird
el pez, fish
la serpiente, snake
el reptil, reptile
la araña, spider
el insecto, bug
el caballo, horse
el burro, donkey
el cerdo, pig
la vaca, cow
el toro, bull
la gallina, hen
el gallo, rooster
el pollito, chick
el pavo, turkey
el conejo, bunny
el ciervo, deer
el alce, moose
la nutria, otter
el castor, beaver
el mapache, racoon
la zarigüeya, opossum
el caimán, alligator
el halcón, hawk
el águila (f), eagle
el oso, bear
el león, lion
el tigre, tiger
el elefante, elephant
el hipopótamo, hippo
la cebra, zebra
el panda, panda
la ballena, whale
el delfín, dolphin
el tiburón, shark
la medusa, jellyfish
el pulpo, octopus
la morsa, walrus
la comida, food
el agua, water
el hielo, ice
la leche, milk
el jugo, juice
la cerveza, beer
el vino, wine
el licor, liquor
la miel, honey
el aceite, oil
el vinagre, vinegar
la sal, salt
la pimienta, pepper
la especia, spice
la semilla, seed
la nuez, nut
el maní, peanut
el pan, bread
el arroz, rice
los fideos, noodles
el pollo, chicken
la res, beef
la puerca, pork
el pescado, fish
la fruta, fruit
el vegetal, vegetable 
la carne, meat
el pimiento, bell pepper
el brócoli, broccoli
el espinaca, spinach
la lechuga, lettuce
la zanahoría, carrot
el apio, celery
la cebolla, onion
el tomate, tomato
el maíz, corn
la patata o la papa, potato
la batata, sweet potato
el rábano, radish
la manzana, apple
el plátano, banana
la naranja, orange
la baya, berry 
la ciruela, plum
el durazno, peach
la uva, grape
el limón, lemon
la lima, lime
el coco, coconut
el melón, melon
la sandía, watermelon
